state,layer,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
Telangana,28,561.0484776210171,662.6256330744577,121.88709342156892,1135.2958859252233,1139.6105413002206,214.78176283359196,215.28042550002155,1.1256033609875291,0.14132224068430582,2889,False,,high
Tripura,8,238.88888295722109,228.2388089617334,50.56672925030716,1092.1038144649535,1101.6422833902093,159.73363314780767,160.40968990504393,2.4013131856975716,0.1660249471871026,1449,False,,baseline
Tripura,16,197.5706230686585,208.69987996101838,41.99696284936243,942.4186777614027,949.4465608021461,140.97951008301234,141.57768489986702,1.9231897078207854,0.14839054331258097,1449,False,,baseline
Tripura,24,248.3947191051675,240.36375709877848,49.56532854599283,981.2339477718485,988.888117983874,146.8448569918757,147.42862852208583,1.9436646833665443,0.15118610496584434,1449,False,,baseline
Tripura,28,639.7472007936278,740.5503024630138,137.41686298887993,1451.4611869111736,1460.349579194095,252.25972793208066,253.08486167951807,2.2162386565343093,0.208538306061817,1449,False,,high
Uttar_Pradesh,8,235.02520280781346,226.56601625192184,49.4117825897676,1204.824655259545,1216.1238614942567,158.1130747618138,158.85597913623,2.96995283566155,0.19137047261362158,1011,False,,baseline
Uttar_Pradesh,16,217.79166098249334,224.37510224790833,45.47522207039157,1077.4084970023227,1087.2270841622103,145.58825228922734,146.23830612609945,2.513651096992015,0.17057609910234375,1011,False,,baseline
Uttar_Pradesh,24,229.29922509509515,219.98174329241215,45.917508826296455,990.1636022318386,999.5278245314227,138.01726519390084,138.6784493173939,2.4094116394577894,0.16295154719302293,1011,False,,baseline
Uttar_Pradesh,28,634.7816355812797,744.0447978702045,137.7925004774363,1502.6513948719528,1513.2596634097422,250.25395413826493,251.13371057093659,2.7272984761602976,0.2299178304632833,1011,False,,high
Uttarakhand,8,276.5202832579607,269.29333512227106,58.620303011417036,1207.6842163522974,1215.664237691927,179.86846207924478,180.54406985080993,2.1579882846285474,0.16784515388308147,1806,False,,baseline
Uttarakhand,16,207.39443065070918,217.43069520251572,44.31278945220572,964.0383124958107,970.5076404454028,149.0994701501003,149.63326044733384,1.7169072287731946,0.1364084991799761,1806,False,,baseline
Uttarakhand,24,260.59787091289536,258.8611821431374,52.683425264306436,1061.2001665817804,1068.539855196644,160.83763909907302,161.4047484672523,1.9946141148188168,0.1489384397602769,1806,False,,baseline
Uttarakhand,28,715.0638433368185,828.1734171002406,151.8460363216014,1657.8178387679004,1668.1622338099924,282.13826144726266,283.01667533358284,2.642661816816795,0.23990533168069106,1806,False,,high
West_Bengal,8,233.6473651519657,224.5559778946797,49.38592461010745,1151.7957209626238,1162.0083245841854,161.6808238419575,162.3602218256899,2.59412522533206,0.17671068520610123,1263,False,,baseline
West_Bengal,16,201.51406986828897,206.66340773103855,42.714441659183194,984.7219240332962,993.0963310157437,143.02533900439764,143.62765835561305,2.0973017112648384,0.1532452085720256,1263,False,,baseline
West_Bengal,24,227.52602617858292,223.1450763979392,46.575399592713836,942.3989107289748,950.5246753665145,140.30724822310805,140.8991916091718,1.9988273368141662,0.15685918549799893,1263,False,,baseline
